priceBucket,count,avg score
0.0,2697,84.71063356798814
10.0,33699,86.45741998635542
20.0,26644,88.00149998125023
30.0,15785,89.0139258133941
40.0,11148,89.87200645797829
50.0,7023,90.49608540925267
60.0,4739,90.8923823591475
70.0,2934,91.26993865030674
80.0,1771,91.53472614342179
90.0,1313,91.87509520182788
100.0,826,92.02421307506053
110.0,406,92.17980295566502
120.0,621,92.19806763285024
130.0,285,92.39298245614034
140.0,224,92.53125
150.0,288,92.90625
160.0,124,92.99193548387096
170.0,130,93.02307692307693
180.0,59,93.08474576271186
190.0,66,93.28787878787878
200.0,101,93.48514851485149
210.0,34,92.97058823529412
220.0,63,93.38095238095238
230.0,36,93.47222222222223
240.0,30,93.76666666666667
250.0,62,94.3225806451613
260.0,22,94.04545454545455
270.0,26,94.3076923076923
280.0,13,95.0
290.0,24,93.75
300.0,44,94.11363636363636
310.0,13,94.84615384615384
320.0,21,93.57142857142857
330.0,11,95.0909090909091
350.0,27,94.48148148148148
360.0,13,94.84615384615384
370.0,8,94.75
380.0,6,95.33333333333333
390.0,9,94.22222222222223
400.0,17,94.23529411764706
410.0,4,95.75
420.0,4,95.25
430.0,3,95.33333333333333
440.0,8,96.5
450.0,29,95.03448275862068
460.0,10,95.7
470.0,7,96.0
480.0,2,96.5
490.0,5,95.0
500.0,13,93.53846153846153
510.0,2,93.0
520.0,3,96.33333333333333
530.0,3,96.0
540.0,2,95.0
550.0,5,96.8
560.0,2,97.0
570.0,2,96.5
580.0,3,94.0
590.0,3,97.66666666666667
600.0,5,94.6
610.0,2,98.5
620.0,4,95.75
630.0,2,96.5
650.0,3,97.33333333333333
660.0,1,97.0
670.0,2,94.0
680.0,2,95.5
690.0,1,97.0
710.0,1,95.0
750.0,2,95.0
760.0,2,95.0
770.0,6,95.66666666666667
780.0,1,91.0
790.0,1,87.0
800.0,5,95.0
820.0,1,96.0
840.0,1,100.0
850.0,3,97.33333333333333
880.0,1,97.0
900.0,1,94.0
930.0,1,97.0
970.0,1,95.0
980.0,1,94.0
1000.0,2,95.5
1100.0,2,95.5
1120.0,1,94.0
1200.0,1,96.0
1300.0,1,96.0
1500.0,2,100.0
1900.0,1,98.0
2000.0,2,96.5
2010.0,1,91.0
2500.0,2,96.0
3300.0,1,88.0
